key	th	en	cn	ja	km	ko	lo	my	vi	ms	id	fil
alert_create_success	สร้างการแจ้งเตือนสำเร็จ	Notification created successfully	通知创建成功	通知が正常に作成されました	បង្កើតការជូនដំណឹងជោគជ័យ	알림이 성공적으로 생성되었습니다	ສ້າງການແຈ້ງເຕືອນສຳເລັດ	အကြောင်းကြားချက် ဖန်တီးခြင်း အောင်မြင်ပါသည်	Tạo thông báo thành công	Notification created successfully	Notification created successfully	Notification created successfully
alert_data_period	ช่วงเวลาของข้อมูล	Data Period	数据期间	データ期間	រយៈពេលទិន្នន័យ	데이터 기간	ໄລຍະເວລາຂອງຂໍ້ມູນ	ဒေတာကာလ	Khoảng thời gian dữ liệu	Data Period	Data Period	Data Period
alert_date_1_31	วันที่ 1-31	Date 1-31	日期 1-31	日付 1-31	កាលបរិច្ឆេទ 1-31	날짜 1-31	ວັນທີ 1-31	ရက်စွဲ 1-31	Ngày 1-31	Date 1-31	Date 1-31	Date 1-31
alert_date_input_hint	เช่น 1, 15, 25	e.g. 1, 15, 25	例如 1, 15, 25	例: 1, 15, 25	ឧ. 1, 15, 25	예: 1, 15, 25	ເຊັ່ນ 1, 15, 25	ဥပမာ 1, 15, 25	Ví dụ: 1, 15, 25	e.g. 1, 15, 25	e.g. 1, 15, 25	e.g. 1, 15, 25
alert_date_input_label	วันที่ (1-31)	Date (1-31)	日期 (1-31)	日付 (1-31)	កាលបរិច្ឆេទ (1-31)	날짜 (1-31)	ວັນທີ (1-31)	ရက်စွဲ (1-31)	Ngày (1-31)	Date (1-31)	Date (1-31)	Date (1-31)
alert_date_label	วันที่ {date}	Date {date}	日期 {date}	日付 {date}	កាលបរិច្ឆេទ {date}	날짜 {date}	ວັນທີ {date}	ရက်စွဲ {date}	Ngày {date}	Date {date}	Date {date}	Date {date}
alert_delete_success	ลบการแจ้งเตือนสำเร็จ	Notification deleted successfully	通知删除成功	通知が正常に削除されました	លុបការជូនដំណឹងជោគជ័យ	알림이 성공적으로 삭제되었습니다	ລຶບການແຈ້ງເຕືອນສຳເລັດ	အကြောင်းကြားချက် ဖျက်ခြင်း အောင်မြင်ပါသည်	Xóa thông báo thành công	Notification deleted successfully	Notification deleted successfully	Notification deleted successfully
alert_delete_this_date	ลบวันที่นี้	Delete this date	删除此日期	この日付を削除	លុបកាលបរិច្ឆេទនេះ	이 날짜 삭제	ລຶບວັນທີນີ້	ဤရက်စွဲကို ဖျက်ရန်	Xóa ngày này	Delete this date	Delete this date	Delete this date
alert_description	รายละเอียดคำเตือน	Alert Details	警告详情	警告詳細	ព័ត៌មានលម្អិតការជូនដំណឹង	알림 세부 정보	ລາຍລະອຽດການແຈ້ງເຕືອນ	သတိပေးချက်အသေးစိတ်	Chi tiết cảnh báo	Alert Details	Alert Details	Alert Details
alert_disabled	ปิดใช้งาน	Disabled	已禁用	無効	បិទដំណើរការ	비활성화됨	ປິດໃຊ້ງານ	ပိတ်ထားသည်	Đã tắt	Disabled	Disabled	Disabled
alert_disabled_notification	ปิดการแจ้งเตือนแล้ว	Notification disabled	通知已关闭	通知が無効になりました	បានបិទការជូនដំណឹង	알림이 비활성화되었습니다	ປິດການແຈ້ງເຕືອນແລ້ວ	အကြောင်းကြားချက် ပိတ်ပြီးပါပြီ	Đã tắt thông báo	Notification disabled	Notification disabled	Notification disabled
alert_edit_notification	แก้ไขการแจ้งเตือน	Edit Notification	编辑通知	通知を編集	កែសម្រួលការជូនដំណឹង	알림 편집	ແກ້ໄຂການແຈ້ງເຕືອນ	အကြောင်းကြားချက် ပြင်ဆင်ရန်	Chỉnh sửa thông báo	Edit Notification	Edit Notification	Edit Notification
alert_enabled	เปิดใช้งาน	Enabled	已启用	有効	បើកដំណើរការ	활성화됨	ເປີດໃຊ້ງານ	ဖွင့်ထားသည်	Đã bật	Enabled	Enabled	Enabled
alert_enabled_notification	เปิดการแจ้งเตือนแล้ว	Notification enabled	通知已开启	通知が有効になりました	បានបើកការជូនដំណឹង	알림이 활성화되었습니다	ເປີດການແຈ້ງເຕືອນແລ້ວ	အကြောင်းကြားချက် ဖွင့်ပြီးပါပြီ	Đã bật thông báo	Notification enabled	Notification enabled	Notification enabled
alert_end_of_month	วันสิ้นเดือน	End of Month	月末	月末	ចុងខែ	월말	ວັນສິ້ນເດືອນ	လကုန်ရက်	Cuối tháng	End of Month	End of Month	End of Month
alert_enter_email	กรอก Email	Enter Email	输入邮箱	メールアドレスを入力	បញ្ចូលអ៊ីមែល	이메일 입력	ກະລຸນາໃສ່ Email	အီးမေးလ် ထည့်ပါ	Nhập Email	Enter Email	Enter Email	Enter Email
alert_enter_line_user_id	กรอก LINE User ID	Enter LINE User ID	输入LINE用户ID	LINE User IDを入力	បញ្ចូល LINE User ID	LINE User ID 입력	ກະລຸນາໃສ່ LINE User ID	LINE User ID ထည့်ပါ	Nhập LINE User ID	Enter LINE User ID	Enter LINE User ID	Enter LINE User ID
alert_every_15_min	ทุก 15 นาที	Every 15 minutes	每15分钟	15分ごと	រៀងរាល់ 15 នាទី	매 15분	ທຸກ 15 ນາທີ	15 မိနစ်တိုင်း	Mỗi 15 phút	Every 15 minutes	Every 15 minutes	Every 15 minutes
alert_every_1_hour	ทุก 1 ชั่วโมง	Every 1 hour	每1小时	1時間ごと	រៀងរាល់ 1 ម៉ោង	매 1시간	ທຸກ 1 ຊົ່ວໂມງ	1 နာရီတိုင်း	Mỗi 1 giờ	Every 1 hour	Every 1 hour	Every 1 hour
alert_every_1_min	ทุก 1 นาที	Every 1 minute	每1分钟	1分ごと	រៀងរាល់ 1 នាទី	매 1분	ທຸກ 1 ນາທີ	1 မိနစ်တိုင်း	Mỗi 1 phút	Every 1 minute	Every 1 minute	Every 1 minute
alert_every_30_min	ทุก 30 นาที	Every 30 minutes	每30分钟	30分ごと	រៀងរាល់ 30 នាទី	매 30분	ທຸກ 30 ນາທີ	30 မိနစ်တိုင်း	Mỗi 30 phút	Every 30 minutes	Every 30 minutes	Every 30 minutes
alert_every_5_min	ทุก 5 นาที	Every 5 minutes	每5分钟	5分ごと	រៀងរាល់ 5 នាទី	매 5분	ທຸກ 5 ນາທີ	5 မိနစ်တိုင်း	Mỗi 5 phút	Every 5 minutes	Every 5 minutes	Every 5 minutes
alert_every_x_min	ทุก {minutes} นาที	Every {minutes} minutes	每{minutes}分钟	{minutes}分ごと	រៀងរាល់ {minutes} នាទី	매 {minutes}분	ທຸກ {minutes} ນາທີ	{minutes} မိနစ်တိုင်း	Mỗi {minutes} phút	Every {minutes} minutes	Every {minutes} minutes	Every {minutes} minutes
alert_every_x_minutes	ทุก X นาที	Every X minutes	每X分钟	X分ごと	រៀងរាល់ X នាទី	매 X분	ທຸກ X ນາທີ	X မိနစ်တိုင်း	Mỗi X phút	Every X minutes	Every X minutes	Every X minutes
alert_for_production	สำหรับใช้งานจริง:	For production:	用于生产环境：	本番用：	សម្រាប់ប្រើប្រាស់ជាក់ស្តែង:	프로덕션용:	ສຳລັບໃຊ້ງານຈິງ:	ထုတ်လုပ်မှုအတွက်:	Dùng cho sản xuất:	For production:	For production:	For production:
alert_for_testing	สำหรับทดสอบ:	For testing:	用于测试：	テスト用：	សម្រាប់ធ្វើតេស្ត:	테스트용:	ສຳລັບທົດສອບ:	စမ်းသပ်ရန်အတွက်:	Dùng để thử nghiệm:	For testing:	For testing:	For testing:
alert_general_info	ข้อมูลทั่วไป	General Information	基本信息	一般情報	ព័ត៌មានទូទៅ	일반 정보	ຂໍ້ມູນທົ່ວໄປ	အထွေထွေအချက်အလက်	Thông tin chung	General Information	General Information	General Information
alert_generating_code	กำลังสร้างรหัสลงทะเบียน...	Generating registration code...	正在生成注册码...	登録コードを生成中...	កំពុងបង្កើតលេខកូដចុះឈ្មោះ...	등록 코드 생성 중...	ກຳລັງສ້າງລະຫັດລົງທະບຽນ...	မှတ်ပုံတင်ကုဒ် ဖန်တီးနေသည်...	Đang tạo mã đăng ký...	Generating registration code...	Generating registration code...	Generating registration code...
alert_gross_profit_report	รายงานกำไรขั้นต้น	Gross Profit Report	毛利报告	粗利益レポート	របាយការណ៍ប្រាក់ចំណេញសរុប	매출총이익 보고서	ລາຍງານກຳໄລລວມ	အကြမ်းအမြတ် အစီရင်ခံစာ	Báo cáo lợi nhuận gộp	Gross Profit Report	Gross Profit Report	Gross Profit Report
alert_interval_15_min	ทุก 15 นาที (4 ครั้ง/ชม.)	Every 15 min (4 times/hr)	每15分钟（4次/小时）	15分ごと（4回/時）	រៀងរាល់ 15 នាទី (4 ដង/ម៉ោង)	매 15분 (4회/시간)	ທຸກ 15 ນາທີ (4 ເທື່ອ/ຊມ.)	15 မိနစ်တိုင်း (4 ကြိမ်/နာရီ)	Mỗi 15 phút (4 lần/giờ)	Every 15 min (4 times/hr)	Every 15 min (4 times/hr)	Every 15 min (4 times/hr)
alert_interval_1_min_test	ทุก 1 นาที (ทดสอบ)	Every 1 min (test)	每1分钟（测试）	1分ごと（テスト）	រៀងរាល់ 1 នាទី (តេស្ត)	매 1분 (테스트)	ທຸກ 1 ນາທີ (ທົດສອບ)	1 မိနစ်တိုင်း (စမ်းသပ်)	Mỗi 1 phút (thử nghiệm)	Every 1 min (test)	Every 1 min (test)	Every 1 min (test)
alert_interval_30_min	ทุก 30 นาที (2 ครั้ง/ชม.)	Every 30 min (2 times/hr)	每30分钟（2次/小时）	30分ごと（2回/時）	រៀងរាល់ 30 នាទី (2 ដង/ម៉ោង)	매 30분 (2회/시간)	ທຸກ 30 ນາທີ (2 ເທື່ອ/ຊມ.)	30 မိနစ်တိုင်း (2 ကြိမ်/နာရီ)	Mỗi 30 phút (2 lần/giờ)	Every 30 min (2 times/hr)	Every 30 min (2 times/hr)	Every 30 min (2 times/hr)
alert_interval_5_min_test	ทุก 5 นาที (ทดสอบ)	Every 5 min (test)	每5分钟（测试）	5分ごと（テスト）	រៀងរាល់ 5 នាទី (តេស្ត)	매 5분 (테스트)	ທຸກ 5 ນາທີ (ທົດສອບ)	5 မိနစ်တိုင်း (စမ်းသပ်)	Mỗi 5 phút (thử nghiệm)	Every 5 min (test)	Every 5 min (test)	Every 5 min (test)
alert_interval_60_min	ทุก 1 ชั่วโมง (24 ครั้ง/วัน)	Every 1 hour (24 times/day)	每1小时（24次/天）	1時間ごと（24回/日）	រៀងរាល់ 1 ម៉ោង (24 ដង/ថ្ងៃ)	매 1시간 (24회/일)	ທຸກ 1 ຊົ່ວໂມງ (24 ເທື່ອ/ມື້)	1 နာရီတိုင်း (24 ကြိမ်/ရက်)	Mỗi 1 giờ (24 lần/ngày)	Every 1 hour (24 times/day)	Every 1 hour (24 times/day)	Every 1 hour (24 times/day)
alert_interval_desc	ส่งซ้ำอัตโนมัติทุก X นาที/ชั่วโมง เหมาะสำหรับติดตามข้อมูลแบบ real-time	Auto-repeat every X minutes/hours, ideal for real-time monitoring	每X分钟/小时自动重复，适合实时监控	X分/時間ごとに自動繰り返し、リアルタイム監視に最適	ផ្ញើម្តងទៀតដោយស្វ័យប្រវត្តិរៀងរាល់ X នាទី/ម៉ោង សមស្របសម្រាប់ការតាមដានទិន្នន័យពេលវេលាជាក់ស្តែង	X분/시간마다 자동 반복, 실시간 모니터링에 적합	ສົ່ງຊ້ຳອັດຕະໂນມັດທຸກ X ນາທີ/ຊົ່ວໂມງ ເໝາະສຳລັບຕິດຕາມຂໍ້ມູນແບບ real-time	X မိနစ်/နာရီတိုင်း အလိုအလျောက်ထပ်ပို့မည်၊ real-time စောင့်ကြည့်ရန် သင့်လျော်သည်	Tự động lặp lại mỗi X phút/giờ, lý tưởng để giám sát thời gian thực	Auto-repeat every X minutes/hours, ideal for real-time monitoring	Auto-repeat every X minutes/hours, ideal for real-time monitoring	Auto-repeat every X minutes/hours, ideal for real-time monitoring
alert_last_run	ทำงานล่าสุด	Last Run	上次运行	最終実行	ដំណើរការចុងក្រោយ	마지막 실행	ເຮັດວຽກລ່າສຸດ	နောက်ဆုံးလုပ်ဆောင်ချိန်	Lần chạy cuối	Last Run	Last Run	Last Run
alert_line_name	ชื่อ LINE:	LINE Name:	LINE名称：	LINE名：	ឈ្មោះ LINE:	LINE 이름:	ຊື່ LINE:	LINE အမည်:	Tên LINE:	LINE Name:	LINE Name:	LINE Name:
alert_line_oa_cost	การส่งผ่าน LINE OA มีค่าใช้จ่าย 0.50 บาท/ข้อความ/คน	Sending via LINE OA costs 0.50 baht/message/person	通过LINE OA发送费用为0.50泰铢/消息/人	LINE OA経由の送信は0.50バーツ/メッセージ/人かかります	ការផ្ញើតាម LINE OA មានតម្លៃ 0.50 បាត/សារ/នាក់	LINE OA를 통한 전송 비용은 0.50바트/메시지/사람입니다	ການສົ່ງຜ່ານ LINE OA ມີຄ່າໃຊ້ຈ່າຍ 0.50 ບາດ/ຂໍ້ຄວາມ/ຄົນ	LINE OA မှတဆင့်ပို့ခြင်း 0.50 ဘတ်/မက်ဆေ့ဂျ်/လူ	Gửi qua LINE OA tốn 0.50 baht/tin nhắn/người	Sending via LINE OA costs 0.50 baht/message/person	Sending via LINE OA costs 0.50 baht/message/person	Sending via LINE OA costs 0.50 baht/message/person
alert_monthly	รายเดือน	Monthly	每月	月次	ប្រចាំខែ	월간	ລາຍເດືອນ	လစဉ်	Hàng tháng	Monthly	Monthly	Monthly
alert_monthly_desc	กำหนดวันที่ในเดือนและเวลาที่ต้องการ เหมาะสำหรับรายงานสิ้นเดือน/ประจำเดือน	Set date and time, ideal for end-of-month/monthly reports	设置月份中的日期和时间，适合月末/月度报告	日付と時間を設定、月末/月次レポートに最適	កំណត់កាលបរិច្ឆេទក្នុងខែនិងពេលវេលា សមស្របសម្រាប់របាយការណ៍ចុងខែ/ប្រចាំខែ	날짜와 시간 설정, 월말/월간 보고서에 적합	ກຳນົດວັນທີໃນເດືອນແລະເວລາທີ່ຕ້ອງການ ເໝາະສຳລັບລາຍງານສິ້ນເດືອນ/ປະຈຳເດືອນ	လရက်စွဲနှင့်အချိန်သတ်မှတ်ရန်၊ လကုန်/လစဉ်အစီရင်ခံစာများအတွက် သင့်လျော်သည်	Đặt ngày và giờ trong tháng, lý tưởng cho báo cáo cuối tháng/hàng tháng	Set date and time, ideal for end-of-month/monthly reports	Set date and time, ideal for end-of-month/monthly reports	Set date and time, ideal for end-of-month/monthly reports
alert_no_channel_set	ยังไม่ได้ตั้งค่าช่องทาง	No channel configured	尚未配置渠道	チャネルが設定されていません	មិនទាន់បានកំណត់ប៉ុស្តិ៍	채널이 설정되지 않았습니다	ຍັງບໍ່ໄດ້ຕັ້ງຄ່າຊ່ອງທາງ	ချန်နယ် မသတ်မှတ်ရသေးပါ	Chưa cấu hình kênh	No channel configured	No channel configured	No channel configured
alert_no_date_defined	ยังไม่กำหนดวันที่	No date defined	尚未设定日期	日付が未設定	មិនទាន់កំណត់កាលបរិច្ឆេទ	날짜가 정의되지 않았습니다	ຍັງບໍ່ໄດ້ກຳນົດວັນທີ	ရက်စွဲ မသတ်မှတ်ရသေးပါ	Chưa xác định ngày	No date defined	No date defined	No date defined
alert_no_date_set	ยังไม่มีการตั้งค่าวันที่	No date configured	尚未设置日期	日付が設定されていません	មិនទាន់បានកំណត់កាលបរិច្ឆេទ	날짜가 설정되지 않았습니다	ຍັງບໍ່ມີການຕັ້ງຄ່າວັນທີ	ရက်စွဲ မသတ်မှတ်ထားသေးပါ	Chưa cấu hình ngày	No date configured	No date configured	No date configured
alert_no_notifications	ยังไม่มีการแจ้งเตือน	No notifications yet	暂无通知	通知はまだありません	មិនទាន់មានការជូនដំណឹង	아직 알림이 없습니다	ຍັງບໍ່ມີການແຈ້ງເຕືອນ	အကြောင်းကြားချက် မရှိသေးပါ	Chưa có thông báo	No notifications yet	No notifications yet	No notifications yet
alert_no_resend_note	หมายเหตุ: ถ้าข้อมูลไม่เปลี่ยนแปลง ระบบจะไม่ส่งซ้ำ	Note: If data doesn't change, system won't resend	注意：如果数据没有变化，系统不会重复发送	注：データが変わらない場合、システムは再送信しません	ចំណាំ: បើទិន្នន័យមិនផ្លាស់ប្តូរ ប្រព័ន្ធនឹងមិនផ្ញើម្តងទៀតទេ	참고: 데이터가 변경되지 않으면 시스템이 재전송하지 않습니다	ໝາຍເຫດ: ຖ້າຂໍ້ມູນບໍ່ປ່ຽນແປງ ລະບົບຈະບໍ່ສົ່ງຊ້ຳ	မှတ်ချက်: ဒေတာမပြောင်းလဲပါက စနစ်က ထပ်မပို့ပါ	Lưu ý: Nếu dữ liệu không thay đổi, hệ thống sẽ không gửi lại	Note: If data doesn't change, system won't resend	Note: If data doesn't change, system won't resend	Note: If data doesn't change, system won't resend
alert_no_time_defined	ยังไม่กำหนดเวลา	No time defined	尚未设定时间	時間が未設定	មិនទាន់កំណត់ពេលវេលា	시간이 정의되지 않았습니다	ຍັງບໍ່ໄດ້ກຳນົດເວລາ	အချိန် မသတ်မှတ်ရသေးပါ	Chưa xác định thời gian	No time defined	No time defined	No time defined
alert_not_specified	ไม่ระบุ	Not specified	未指定	未指定	មិនបានបញ្ជាក់	미지정	ບໍ່ໄດ້ລະບຸ	မသတ်မှတ်ထားပါ	Không xác định	Not specified	Not specified	Not specified
alert_notification_channel	ช่องทางการแจ้งเตือน	Notification Channel	通知渠道	通知チャネル	ប៉ុស្តិ៍ជូនដំណឹង	알림 채널	ຊ່ອງທາງການແຈ້ງເຕືອນ	အကြောင်းကြားချက် ချန်နယ်	Kênh thông báo	Notification Channel	Notification Channel	Notification Channel
alert_notification_list	รายการแจ้งเตือน	Notification List	通知列表	通知リスト	បញ្ជីការជូនដំណឹង	알림 목록	ລາຍການແຈ້ງເຕືອນ	အကြောင်းကြားချက် စာရင်း	Danh sách thông báo	Notification List	Notification List	Notification List
alert_or_add_new	หรือกดปุ่ม "เพิ่ม" เพื่อสร้างใหม่	Or press "Add" to create new	或点击"添加"按钮创建新的	または「追加」ボタンを押して新規作成	ឬចុចប៊ូតុង "បន្ថែម" ដើម្បីបង្កើតថ្មី	또는 "추가" 버튼을 눌러 새로 만들기	ຫຼືກົດປຸ່ມ "ເພີ່ມ" ເພື່ອສ້າງໃໝ່	သို့မဟုတ် "ထည့်" ခလုတ်ကိုနှိပ်၍ အသစ်ဖန်တီးပါ	Hoặc nhấn nút "Thêm" để tạo mới	Or press "Add" to create new	Or press "Add" to create new	Or press "Add" to create new
alert_please_add_time	กรุณาเพิ่มเวลา	Please add time	请添加时间	時間を追加してください	សូមបន្ថែមពេលវេលា	시간을 추가해주세요	ກະລຸນາເພີ່ມເວລາ	ကျေးဇူးပြု၍ အချိန်ထည့်ပါ	Vui lòng thêm thời gian	Please add time	Please add time	Please add time
alert_register_line_hint	กดปุ่มด้านล่างเพื่อรับรหัส 4 หลักสำหรับลงทะเบียน	Press button below to get 4-digit code for registration	点击下方按钮获取4位注册码	下のボタンを押して登録用4桁コードを取得	ចុចប៊ូតុងខាងក្រោមដើម្បីទទួលលេខកូដ 4 ខ្ទង់សម្រាប់ចុះឈ្មោះ	아래 버튼을 눌러 등록용 4자리 코드를 받으세요	ກົດປຸ່ມດ້ານລຸ່ມເພື່ອຮັບລະຫັດ 4 ຫຼັກສຳລັບລົງທະບຽນ	မှတ်ပုံတင်ရန် ဂဏန်း 4 လုံးကုဒ်ရယူရန် အောက်ပါခလုတ်ကိုနှိပ်ပါ	Nhấn nút bên dưới để nhận mã 4 chữ số đăng ký	Press button below to get 4-digit code for registration	Press button below to get 4-digit code for registration	Press button below to get 4-digit code for registration
alert_register_line_oa	ลงทะเบียน LINE OA	Register LINE OA	注册LINE OA	LINE OAに登録	ចុះឈ្មោះ LINE OA	LINE OA 등록	ລົງທະບຽນ LINE OA	LINE OA မှတ်ပုံတင်ရန်	Đăng ký LINE OA	Register LINE OA	Register LINE OA	Register LINE OA
alert_register_line_user_id	ลงทะเบียนรับ LINE User ID	Register LINE User ID	注册LINE用户ID	LINE User IDを登録	ចុះឈ្មោះទទួល LINE User ID	LINE User ID 등록	ລົງທະບຽນຮັບ LINE User ID	LINE User ID မှတ်ပုံတင်ရန်	Đăng ký nhận LINE User ID	Register LINE User ID	Register LINE User ID	Register LINE User ID
alert_registration_success	ลงทะเบียนสำเร็จ!	Registration successful!	注册成功！	登録成功！	ចុះឈ្មោះជោគជ័យ!	등록 성공!	ລົງທະບຽນສຳເລັດ!	မှတ်ပုံတင်ခြင်း အောင်မြင်ပါသည်!	Đăng ký thành công!	Registration successful!	Registration successful!	Registration successful!
alert_registration_timeout	หมดเวลาลงทะเบียน กรุณาลองใหม่	Registration timed out, please try again	注册超时，请重试	登録がタイムアウトしました。もう一度お試しください	ការចុះឈ្មោះអស់ពេល សូមព្យាយាមម្តងទៀត	등록 시간이 초과되었습니다. 다시 시도해주세요	ໝົດເວລາລົງທະບຽນ ກະລຸນາລອງໃໝ່	မှတ်ပုံတင်ချိန် ကုန်ဆုံးသွားပါပြီ၊ ထပ်စမ်းကြည့်ပါ	Đăng ký hết thời gian, vui lòng thử lại	Registration timed out, please try again	Registration timed out, please try again	Registration timed out, please try again
alert_report_type	ประเภทรายงาน	Report Type	报告类型	レポートタイプ	ប្រភេទរបាយការណ៍	보고서 유형	ປະເພດລາຍງານ	အစီရင်ခံစာ အမျိုးအစား	Loại báo cáo	Report Type	Report Type	Report Type
alert_sales_summary	สรุปยอดขาย	Sales Summary	销售摘要	売上サマリー	សង្ខេបការលក់	매출 요약	ສະຫຼຸບຍອດຂາຍ	အရောင်း အနှစ်ချုပ်	Tóm tắt doanh số	Sales Summary	Sales Summary	Sales Summary
alert_save_success	บันทึกการเปลี่ยนแปลงสำเร็จ	Changes saved successfully	更改保存成功	変更が正常に保存されました	រក្សាទុកការផ្លាស់ប្តូរជោគជ័យ	변경사항이 성공적으로 저장되었습니다	ບັນທຶກການປ່ຽນແປງສຳເລັດ	ပြောင်းလဲမှုများ သိမ်းဆည်းခြင်း အောင်မြင်ပါသည်	Lưu thay đổi thành công	Changes saved successfully	Changes saved successfully	Changes saved successfully
alert_scan_qr_search	Scan QR Code หรือค้นหา @bcaccount	Scan QR Code or search @bcaccount	扫描QR码或搜索@bcaccount	QRコードをスキャンまたは@bcaccountを検索	ស្កេន QR Code ឬស្វែងរក @bcaccount	QR 코드를 스캔하거나 @bcaccount를 검색하세요	Scan QR Code ຫຼືຄົ້ນຫາ @bcaccount	QR Code စကင်ဖတ်ပါ သို့မဟုတ် @bcaccount ရှာပါ	Quét mã QR hoặc tìm @bcaccount	Scan QR Code or search @bcaccount	Scan QR Code or search @bcaccount	Scan QR Code or search @bcaccount
alert_schedule_format	รูปแบบ	Format	格式	フォーマット	ទម្រង់	형식	ຮູບແບບ	ပုံစံ	Định dạng	Format	Format	Format
alert_select_channel_required	กรุณาเลือกช่องทางแจ้งเตือนอย่างน้อย 1 อย่าง	Please select at least 1 notification channel	请至少选择1个通知渠道	通知チャネルを1つ以上選択してください	សូមជ្រើសរើសប៉ុស្តិ៍ជូនដំណឹងយ៉ាងហោចណាស់ 1	알림 채널을 1개 이상 선택해주세요	ກະລຸນາເລືອກຊ່ອງທາງແຈ້ງເຕືອນຢ່າງໜ້ອຍ 1 ຢ່າງ	အကြောင်းကြားချက် ချန်နယ် အနည်းဆုံး 1 ခု ရွေးပါ	Vui lòng chọn ít nhất 1 kênh thông báo	Please select at least 1 notification channel	Please select at least 1 notification channel	Please select at least 1 notification channel
alert_select_date_time_required	กรุณาเลือกวันที่และเวลาอย่างน้อย 1 รายการ	Please select at least 1 date and time	请至少选择1个日期和时间	日付と時間を1つ以上選択してください	សូមជ្រើសរើសកាលបរិច្ឆេទនិងពេលវេលាយ៉ាងហោចណាស់ 1	날짜와 시간을 1개 이상 선택해주세요	ກະລຸນາເລືອກວັນທີແລະເວລາຢ່າງໜ້ອຍ 1 ລາຍການ	ရက်စွဲနှင့်အချိန် အနည်းဆုံး 1 ခု ရွေးပါ	Vui lòng chọn ít nhất 1 ngày và giờ	Please select at least 1 date and time	Please select at least 1 date and time	Please select at least 1 date and time
alert_select_day_time_required	กรุณาเลือกวันและเวลาอย่างน้อย 1 รายการ	Please select at least 1 day and time	请至少选择1天和时间	日と時間を1つ以上選択してください	សូមជ្រើសរើសថ្ងៃនិងពេលវេលាយ៉ាងហោចណាស់ 1	요일과 시간을 1개 이상 선택해주세요	ກະລຸນາເລືອກວັນແລະເວລາຢ່າງໜ້ອຍ 1 ລາຍການ	ရက်နှင့်အချိန် အနည်းဆုံး 1 ခု ရွေးပါ	Vui lòng chọn ít nhất 1 ngày và giờ	Please select at least 1 day and time	Please select at least 1 day and time	Please select at least 1 day and time
alert_select_from_left	เลือกรายการจากด้านซ้าย	Select an item from the left	从左侧选择一项	左側から項目を選択してください	ជ្រើសរើសធាតុពីខាងឆ្វេង	왼쪽에서 항목을 선택하세요	ເລືອກລາຍການຈາກດ້ານຊ້າຍ	ဘယ်ဘက်မှ အရာတစ်ခုကို ရွေးပါ	Chọn một mục từ bên trái	Select an item from the left	Select an item from the left	Select an item from the left
alert_select_send_format	เลือกรูปแบบการส่ง (เลือกได้ 1 รูปแบบ)	Select sending format (1 format only)	选择发送格式（仅限1种格式）	送信フォーマットを選択（1つのみ）	ជ្រើសរើសទម្រង់ផ្ញើ (ទម្រង់ 1 ប៉ុណ្ណោះ)	전송 형식 선택 (1가지만)	ເລືອກຮູບແບບການສົ່ງ (ເລືອກໄດ້ 1 ຮູບແບບ)	ပို့မည့်ပုံစံ ရွေးပါ (1 ပုံစံသာ)	Chọn định dạng gửi (chỉ 1 định dạng)	Select sending format (1 format only)	Select sending format (1 format only)	Select sending format (1 format only)
alert_send_format_note	หมายเหตุ: สามารถตั้งค่าไว้ได้ทุกรูปแบบ แต่ระบบจะทำงานตามรูปแบบที่เลือกเท่านั้น	Note: All formats can be configured but only the selected format will be active	注意：所有格式均可配置，但只有选中的格式会生效	注：すべてのフォーマットを設定できますが、選択したフォーマットのみがアクティブになります	ចំណាំ: ទម្រង់ទាំងអស់អាចកំណត់បាន ប៉ុន្តែមានតែទម្រង់ដែលបានជ្រើសរើសប៉ុណ្ណោះដែលដំណើរការ	참고: 모든 형식을 설정할 수 있지만 선택한 형식만 활성화됩니다	ໝາຍເຫດ: ສາມາດຕັ້ງຄ່າໄດ້ທຸກຮູບແບບ ແຕ່ລະບົບຈະເຮັດວຽກຕາມຮູບແບບທີ່ເລືອກເທົ່ານັ້ນ	မှတ်ချက်: ပုံစံအားလုံး သတ်မှတ်နိုင်သော်လည်း ရွေးချယ်ထားသော ပုံစံသာ အလုပ်လုပ်ပါမည်	Lưu ý: Tất cả định dạng đều có thể cấu hình nhưng chỉ định dạng được chọn mới hoạt động	Note: All formats can be configured but only the selected format will be active	Note: All formats can be configured but only the selected format will be active	Note: All formats can be configured but only the selected format will be active
alert_sending_settings	ตั้งค่าการส่ง	Sending Settings	发送设置	送信設定	ការកំណត់ការផ្ញើ	전송 설정	ຕັ້ງຄ່າການສົ່ງ	ပို့ဆောင်မှု ဆက်တင်များ	Cài đặt gửi	Sending Settings	Sending Settings	Sending Settings
alert_step1_add_friend	ขั้นตอนที่ 1: เพิ่มเพื่อน LINE OA	Step 1: Add LINE OA as friend	步骤1：添加LINE OA为好友	ステップ1：LINE OAを友達に追加	ជំហានទី 1: បន្ថែម LINE OA ជាមិត្ត	1단계: LINE OA를 친구로 추가	ຂັ້ນຕອນທີ 1: ເພີ່ມເພື່ອນ LINE OA	အဆင့် 1: LINE OA ကို သူငယ်ချင်းအဖြစ် ထည့်ပါ	Bước 1: Thêm LINE OA làm bạn	Step 1: Add LINE OA as friend	Step 1: Add LINE OA as friend	Step 1: Add LINE OA as friend
